Duration (in seconds),"Context (Medical=1, Recidivism=2)","Transparency Level (N1, O2, T3, S4)","Experimental Group [MN1, MO2, MT3, MS4, RN5, RO6, RT7, RS8)","Validation (1=right, 2= wrong)",Attitudes to AI,Attitudes Qual,AI Understanding,AI Understanding Qual,Fairness,Fairness Qual,Trust,Trust Qual,Negative Responsibility Human,Negative Resposibility AI,Positive Resposibility Human,Positive Resposibility AI,Age,"Education (Less than high school degree = 1, etc�)",Sex,Income,"Political View (Extremly Left 0, Extremly Right 100)",Religion (No religion 0 - Fully religious 100),Ethnicity
334,1,1,1,1,10,Because its a big decision to make when there is such a big back log of patients that all are a priority however more than others therefore it should be used to help make there finally decisions.,2,"not completley only been given a small piece of information , other than it helps them with what is ore urgent than others .",5,I am unsure ,5,Without knowing all information I am unsure if i would trust this or not ,5,10,10,10,24,3,2,2,50,20,7
291,1,2,2,1,8,A combination would be best,8,Based on data & algorithms,7,As long as the correct criteria is used,7,I would want some human element ,7,5,7,5,48,3,2,4,50,20,6
268,2,3,7,1,7,The AI uses a lot of available data and could be trusted to make the correct decision,7,It uses all available data to make a decision,7,The data used helps to make the right decision,7,As long as it uses the right data,5,5,5,5,30,3,1,3,80,0,6
334,1,1,1,1,6,Decisions would be made by a neutral power,1,I am just not so into Computer softwears,10,Its based on facts,10,And again the Al will make a decision just based on facts,10,9,10,10,21,2,2,1,51,0,6
444,1,3,3,1,6,"If there is a way to logically inform the consultant of who is most eligible for the treatment they should use it, but also it may cause ethical problems in terms of picking people over other patients for a treatment that everyone should be allowed to have",3,i understand which characteristics are used to inform their decisions but im still unclear how they would actually influence who is most eligible for treatment,3,as said before it could be considered unfair un using demographics and other details to prioritise certain patients,5,im not really informed on it enough to trust or not trust it,3,7,6,10,21,2,2,1,29,2,6
214,2,4,8,1,6,I think it is reasonable to take into account the AI's decision but I wouldn't entirely follow the AI because somethings only a human can detect and take into account.,9,The AI seemed to take into account a person's likelihood of reoffending based on past behavoir.,7,I think it is reasonably fair to base future decisions on past behavoir which is what the AI seemed to do.,5,I could potentially trust the AI but I would always want human oversight over anything the AI decides.,4,7,6,8,32,4,1,4,97,86,6
548,1,4,4,1,8,i agree because i feel that the AI will give a fair chance to everyone and lead to an unbiased decision by the lead consultant,5,"Well to an extend i believe that i do understand, nut if given the opportunity to ask a few questions, i would in order to fully understand",8,"the decision is based on a set rules, thus it is unbiased",8,"i do trust it, mainly cause of its fairness",9,5,10,9,25,5,2,1,71,77,1
268,1,1,1,1,4,"Artificial intelligence lacks human existence, situational expertise and morals",8,I have had a class about artificial intelligence at uni,10,It‘s fair because it’s based on numbers,4,Having Maschines make decisions about human life is a possible danger,4,6,6,4,21,5,2,10,42,7,6
233,2,2,6,1,8,"Because it will give them info, although other methods should be used alongside it ",5,Only know basics,3,It does provide a full picture,4,No needs human touch too ,10,10,8,9,33,5,2,4,50,11,6
324,2,2,6,1,10,it helps with resources and with decision making,5,I have a broad knowledge but not the detail,5,impossible to say without reviewing many decisions over time,6,"slightly yes, but need to know much more and see results",3,3,3,3,54,3,1,3,31,0,6
165,2,2,6,1,8,They  are rational as they dont have feelings,8,They make decisions based on what is the correct thing to do with no bias,9,They do not have any bias as they do not have feelings or emotions,6,They may become self aware,4,7,7,8,20,3,1,1,71,71,6
253,1,2,2,1,1,We are not at the level to make use of AI in life or death situations,9,Complex algorithms are used to give AI decision making skills. this is used all the time in video games.,5,AI are designed to make it's own choices based on current information. It's hard to tell if it is fair.,5,"In a life or death situation, nothing should be left to an AI.",10,10,0,10,29,4,1,5,50,0,6
333,1,3,3,1,9,I think that it takes away the pressure on the consultant and considers many factors logically that the consultant may miss,8,i understand that the AI uses a lot of background information on the patients to decide if they should have priority for treatments,8,as it is not a human making the decision it takes away any human bias that can occur if the consultant is left to decide,7,I mostly trust the AI process but the consultants will know the patients state better,4,8,4,9,20,3,2,1,20,5,6
446,1,4,4,1,8,It takes all variables into account to make sure that those who need surgery urgently are prioritised but it still requires a human element to make sure the priorities are correct  ,9,"The ai is making decisions based on the variables such as age, weight, medication and how major the surgery is ",4,There is no bias but also no compassion for things like extenuating circumstances it just takes into account the raw data,6,I would trust the ai to prioritize patients based on the data to assist hospital staff not to make the decisions,5,8,8,9,30,5,1,5,48,9,6
192,1,4,4,1,8,AI has a clear order and eliminates factors of luck and/or bias,8,Each factor of consideration is weighted by its importance and a total calculation is made,8,There is no luck/bias element and purely based off statistical information,8,It can be reviewed and monitored to assure it all runs as it should,6,7,6,7,21,5,1,11,25,71,6
521,1,1,1,1,9,AI can tell him in blunt terms to help him decide,9,All available info is fed into AI,6,Probably not fair as it doesn't have feelings of patients' pain,6,I would if it wasn't life-threatening decisions,10,6,9,9,43,3,1,3,86,61,6
880,1,4,4,1,3,I don‘t think they should rely on the AL too much for decison making because there‘s many things to consider in such situations and also individually things to consider which an AL can‘t really manage I believe.  But I do think that the help of an AL could be kind of useful but I would not let it take the final decision,7,"I think I do understand how it makes decisions, by calculating different things like age, sex etc. in order to select the one who needs it the most",6,I think it is kind of fair but I think that the age category should be higher in the list and also the sex should be lower. But it‘s kind of hard to say which things to measure higher or decide who needs it the most because each case is individually different in my opiniom,4,Like I explained before I don‘t trust the AL to do the final decision but I think it can help in making the decision by a human being,4,5,6,7,21,2,2,2,24,60,4
357,1,1,1,1,2,"AI can be useful in making decisions, particularly if it narrows down a wide variety of options into a list that is easier to pick from. However, AI can be heavily biased, and is only as neutral as it's creator. In a life or death situation this could lead to a hospital making a series of biased decisions, putting some patients as a lower priority when perhaps they should be more important. ",2,I understand that AI are often trained using example tasks until they are able to make their own decisions but this is about it.,1,AI can be biased and I have seen many examples of AI being biased against people of colour because they are made by white people (or undiverse teams) who simply do not account for people who are not themselves.,1,AI can be biased (which people can too) but people tend to consider AI as neutral when this is very often not the case.,10,5,10,5,25,5,2,9,0,0,6
451,2,4,8,1,7,not sure some of the factors should be as high as they are,10,it seems easy to follow,5,it doesnt look that fair to people who may have had a recent conviction but no threat to the society,5,not sure itll always work on the individual,10,10,10,8,27,3,2,3,50,42,6
181,1,2,2,1,7,I believe they should a mixture of advice from doctors and the AI,3,I do not understand fully,6,It is completely objective,5,May need a real human to help make an informed decision,0,10,0,10,19,3,2,8,10,1,6
239,2,2,6,1,4,I don't fully trust AI to be accurate.,1,I have not research AI too much.,2,I don't know it AIs can be accurate.,0,I don't trust them to be accurate,8,3,8,4,25,5,1,5,45,75,6
381,2,4,8,1,1,I think every case should be studied individually. I think an AI would generalize humans too much. ,7,Analyzing mostly demographical and psychological information. ,5,The categories that this AI use do make sense. However each imprisoned person should be analyzed as an individual. ,3,"The AI probably makes logical choices. However, real people should make the final decisions. ",9,8,8,9,23,2,2,6,13,6,7
700,2,3,7,1,7,"I believe that if the AI is properly programmed, it should be free of biases and be much better at decision making given the information required than humans could ever be.",4,"Not entirely. I need to see the code and it performs in action. I know the identifiers the AI takes into account for decision making, but not how the overall rating has to be for instance.",5,"It can be, but it all depends on how the AI is designed. ",7,"I absolutely do, AI helps identify areas of potential crimes ",6,3,5,3,29,5,1,2,40,30,6
458,2,3,7,1,6,"their crime and the circumstance needs to be examined but their age, sex and gender is irrelevant and unfair. ",6,the look at the individual and who they are and make their decision based off of that when they should be looking at the crime they have committed and the circumstances. ,3,"its fair if their decision is based off of the seriousness of the crime but it is extremely unfair to make decision on someone based off of their sex, gender, race, age and their financial situation and upbringing. ",1,"their decisions seem to b very unfair and excluding and it implies that only a certain group of people will be released even if their crime is more server than a black, poor, teenage boy. ",2,8,2,9,19,2,2,3,50,30,6
513,2,3,7,1,10,"The AI makes decisions in an informed and unbiased way, which people never can do 100%. However I think the final decision should still be made by the officer, since after all it is about living breathing people - there might always be things to be considered which an AI could not. However I think the AI can be and should be an important and central part of the decision making process. ",10,"The AI follows a simple algorithm, so it is clear how decisions are made",10,The AI is unbiased regarding aspects like sympathy or ehtnicity etc. ,9,"Mostly yes, but as I said in the first answer: sometimes it might be necessary to make exceptions or consider special details (this would be the expection, though) ",8,8,8,8,22,4,2,1,10,45,6
429,1,4,4,2,4,Cannot assess how trustworthy the AI is only by the information provided.,6,"Majoring in computer science, especially about ML.",6,"Kind of fair, but more of how it is coded and learned.",8,"As a computer scientist, yes.",8,6,8,6,24,5,1,1,20,70,5
610,2,3,7,1,7,I think the AI would be useful because the decisions made  will be based on facts not opinions,8,The AI will make decisions by using all the data presented to it and choosing the offenders who are most likely not to reoffend with extra help,7,I think it is mostly fair because its decisions are made using facts not personal opinions or bias,8,Yes it has no alterior motives,4,5,4,8,40,2,2,6,40,9,6
174,1,3,3,1,8,"Precision and accuracy, unbiased.",6,"Moderate understanding of AI and algorithms, ",10,"Unbiased, not affected by feelings, just behaves according to how it has been coded to behave.",7,"Yes, so long as the programmer is competent.",10,1,7,7,23,5,1,12,50,25,6
505,1,3,3,2,8,"If the algorithm is weighted well and can in fact correctly prioritise patient based on need, this would help the lead consultant choose who to treat first, saving their time. However, they should have the ability to choose themselves on individual scenarios.",8,The AI uses a range of patient demographics I.e. their health status/condition and personal characteristics to assess who should be treated first.,8,It seems fair as there shouldn’t be any subject bias that may subconsciously be involved if a human were to make the decision ,5,I’m unsure as I have no idea how the AI has been test,5,10,10,7,26,5,1,8,40,1,6
505,1,2,2,1,2,I don't think that an AI would understand nuanced human cases as well as a human being could.,2,I assume that the AI bases its decisions on what information it has been given or has available.,10,A computer would not be biased in any way.,1,"I think there would be factors outside of the AI's knowledge that a human would know. Diabetics smell of ketones which I don't think a computer would identify, for instance.",10,10,10,10,46,3,1,5,20,20,6
385,1,1,1,1,8,It can remove an emotional aspect the doctor may have towards the treatable patient,3,There is no information on any decision making process for the AI ,10,All decisions will be on the data and facts of patients,5,Hard to say how well the programming evaluates the outcome,10,10,10,10,49,5,1,5,34,0,6
406,2,1,5,1,8,"Because resources are tight, using AI would save time that would usually be spent my other officers making these decisions",6,"I understand that AI can gather information and make decisions based off of that, but don't fully understand how",10,AI has no knowledge of fairness therefor it cannot be biased ,9,AI means that there is less room for human error or bias,10,10,8,8,22,5,2,2,2,5,6
419,1,4,4,1,9,"The Lead Consultant will likely be weighing up those variables themselves in terms of risk and reward, so the AI is just honing that insight. The Lead can look at the data the AI presents and also they can choose wether to follow the guidance or disregard it entirely.",6,"I think I know the principles of AI, but wouldn’t understand the programming behind it. Someone has to choose that the procedure is the highest risk factor, and I don’t understand how that gets fed into the AI",7,"AI is arbitrary, so is arguably more even. What it doesn’t understand is any outliers or any other kind of impact on decisions which humans would ",6,"I do, but I would only trust it in conjunction with a doctor’s opinion",6,4,3,7,34,5,2,6,55,0,6
385,1,4,4,1,7,The Ai should allow those who need the more urgent care to revive treatment first.,7,"Takes into varying factors such as age, need for treatment etc and orders who should receive treatment first.",8,Those who need the surgery more urgently should receive it first however I believe age shouldn’t be a factor when looking at certain disease or need for treatment.,8,"Statistic driven analysis is usually reliable and accurate, this is a good format.",9,8,9,8,22,5,1,11,20,20,6
451,2,3,7,1,7,It will be very time consuming for the lead officer to do it himself. The AI can narrow it down a bit. However AI will not be able to factor in everything like a human could,8,It factors the length of the sentence and demographic of the prisoner etc. To make a decision,5,It factors in the sentence and demographics but will not be able to factor in everything ,4,The AI will not be able to make decisions on the same way a human can,8,5,7,10,21,3,2,10,50,50,6
2152,2,3,7,1,5,In some aspects but depending on the situation i.e fingerprints etc,1,I have not been educated on this matter,5,Unsure,2,Unsure if reliable,3,2,10,3,24,3,2,1,61,60,7
383,2,3,7,1,5,Some of it sounded good but then lastly it said based on peoples post codes and i think that leaves it open to corruption because some people dont have a choice over where to live and it sounds discriminatory on poorer people,9,"It explained how it makes decisions on the first page, based on a prisoners history of previous crimes, addiction and mental health issues etc.",5,I can't say whether its fair or not. I think each case should be taken on its own basis and i cant say whether its fair until i see the outcomes.,2,I am wary over AI and the decisions it makes because ultimately it depends on how it has been programmed.,8,8,6,6,38,3,2,3,20,9,6
1035,2,4,8,1,7,The AI can help with statistical knowledge and should be a part of decision-making.It also acts less rational than a human beeing and should considerd partly for help (not completly),5,I understand how other AI works. But the example was too less information.,8,Didn't see any negativ decisions. But also a little bit too less information overall.,6,"Since I don't know how exactly this AI works, I don't trust it competly.",7,9,6,5,35,6,1,4,50,12,6
553,2,1,5,1,3,I believe that the reason behind the crime should be evaluated and that would require human interaction,0,I have no idea how AI would work ,1,Based on statistics it may be but I believe there could be circumstances that should be considered by a person,0,"No,until I understood exactly how it would work, I wouldn't trust it.",2,1,1,1,40,2,2,8,90,100,6
196,1,4,4,1,7,It is a more objective decision,8,I was shown all the variables,6,I dont agree with some of the variables like sex and bmi,8,I think its a fair decision,7,3,7,7,30,6,1,11,43,23,6
1062,1,3,3,1,7,Since  the AI can put together the medical records it should make better decisions,7,By considering factors collated from Medical data,7,Puting those vulnerable first without the use of Emotions,8,It will sort out patients according to data,4,6,5,8,37,6,1,8,25,69,6
528,1,1,1,1,5,Sometimes you need an emotional response to a problem rather than pure logic,6,"It will examine the condition of patients and see how likely they are to survive with and without treatment, and make its decision based on that",8,"An AI is going to be logical, and analytical which can be upsetting for people, but is the most efficient",8,An AI will be unbiased and will only use information to make a decision,5,5,5,5,23,4,1,2,27,0,6
519,1,3,3,1,7,The AI will take all data into account and can act as a starting point for the lead consultant to base their decision.,7,The AI will take into account the patient’s information and using all of this recommend which patients should be prioritised for treatment ,7,All information is taken into consideration ,7,Risk of human error is reduced so if data in system is correct the AI should be able to accurately make recommendations ,7,9,7,9,34,6,2,8,40,30,6
341,2,1,5,1,9,"With limited resources this is another tool to inform the decision making process, as long as decisions are not automated and provides recommendations only it would be an effective tool.",5,The premise of the system is understood however the specific workings of it would not be understood.,9,It is without human bias as possible,3,There will always be outliers in data which necessitates human decisions to authorise especially when dealing with people’s freedom ,3,3,3,3,29,5,1,6,25,0,6
542,2,3,7,1,2,"The AI likely to miss a lot of nuance in individual cases. It will lump everything that looks similar together, because it doesn't have a full picture. It just has a few statistics.",5,"I know what data it uses but I don't really know how it uses it. What model, what weighting is given to each input feature, for example.",1,I don't think someone is automatically fair because a human doesn't seem to be involved. It's a very difficult topic.,1,It's too inflexible and limited. The decision is too important and could have a huge impact on everyone involved.,10,1,8,1,41,6,1,9,32,0,6
565,2,4,8,1,2,While I trust AI the reasoning for what it prioritizes seems very human and not trustable  ,8,I understand how it prioritizes different elements to create  a weighted opinion on who should be prioritized by the probation officer.,0,"I do not see any evidence for its fairness, it is an AI programmed to do a specific task but the inputs and how it rates them doesn't seem fair or well reasoned. ",0,No I think the inputs will give an answer but it isn't necessarily correct by any stand other than that's what the inputs predict. I think a case by case standard would be more fair and even that would have issues if not done correctly.,0,0,0,0,30,3,1,4,0,0,6
330,2,1,5,1,7,"They should not rely fully on the AI, but it could give them a good indication. ",5,I would assume it takes into account of the crime and past experiences.,6,I think so ,7,If it has the correct information and is unbiased.,7,8,5,9,18,2,2,9,20,10,6
648,2,4,8,1,9,AI are more efficient in data analysis,7,AI makes decision by accessing the data available,8,AI decisions are fair cause they're not clouded by emotions,9,Yes I do. AI information are more accurate and fair,1,10,9,7,36,6,1,12,80,50,6
688,2,2,6,1,8,"I understand that this would be beneficial, but I don't believe it should be solely relied on. ",5,I only have a vague understanding of how it works and what factors are involved.,7,There may still be factors which the AI can't or won't take into consideration.,7,Because the humans should still be in charge.,6,4,5,5,60,4,2,1,15,65,6
342,1,2,2,1,8,If the ai can pull data and present it from multi sources this can help the doctor make an informed decision ,8,The ai makes decisions based on the data available,10,It is not personal so is completely  fair,5,I think decisions about life or death should take into account more than just data,10,10,10,10,37,5,2,5,21,50,6
415,2,4,8,1,7,The AI will be the best method to put together statistics and provide ok theory what might be best but there needs to be a human imput to as sometimes it is not always black and white and is subjective. ,8,It collates all the statistics and with a computer programme it will be accurate b,9,The AI will only do things as programmed so won’t take emotions into account. ,7,The complex programming is good but still needs a bit of human input. ,0,9,5,1,45,8,1,2,89,0,6
249,2,1,5,1,2,A human should weigh up the emotional elements also. AI cant do this. ,6,I would assume the AI would work on statistics. ,3,"I think a human should make the decision, ",1,No as i believe a human element isneeded for the meotioanl aspects of whats happened. Someone may have commited a crime to protect a family member etc. or forced into it if they are vulnerable ,5,9,4,9,30,4,2,3,60,19,6
405,2,4,8,1,7,"AI can help inform the officer with variables and potential, but the officer should gather his own data from other officers who have interacted with the convicts, and use reports to help inform likely need of support",7,it gathers and compares data variables to estimate who is more likely to need support,4,it is not fair because it doesnt account for actual crime committed,2,I don't trust a robot without all actual statistics and human emotion,10,10,9,9,21,3,1,4,1,29,2
994,2,4,8,1,6,I feel there will be certain unique variables that will be left out by the AI in respect to the offenders circumstance,7,The AI makes its decision by weighing certain variables about the ex-offender.,5,"It is fair though, because people with similar histories tend to express close behaviors",6,I have some reservation about computers when it comes to matters that involve some sort of emotion.,7,5,8,8,30,6,2,8,45,66,6
389,2,3,7,1,2,it may not be able to look at the information in context and in relation to external factors,5,only to a point. How it would score the individual factors is not explained,5,can tell from the information supplied. It will be equally fair / unfair to everyone,7,yes as no bias will be shown,3,2,2,1,60,5,1,6,69,41,6
700,2,1,5,1,5,It's difficult for AI to take personal circumstances into account and for AI to understand or predict how a prisoner would react. ,5,I think they analyse a variety of situations and based on that they predict or for-see outcomes. ,7,I presume they are fair decisions but sometimes fair isn't always the right decision. ,4,I don't know if I could because I feel like there needs to be some humanity involved. Although sometimes that can work the wrong way too. ,7,8,7,8,30,6,1,4,30,50,6
698,1,4,4,1,8,AI can make better decisions without bias,7,the AI uses information to make decisions,7,The AI makes objective decisions without any bias,5,AI could potentially have an error that leads to wrong decisions,6,8,5,7,25,2,1,2,25,30,6
377,1,4,4,2,5,Ai can give an overview of the full situation then the consultant should also use their knowledge of the patients to make the decision.,5,Ai uses the data given to make the decision assigning priority to certain aspects such as procedure type and waiting time.,6,Using the data the decision is fair but it does not take into account the human situation and the propriety given to certain aspects may disadvantage some patients.,5,I would prefer a mix of ai and human collaboration as you can’t just use data to make life or death decisions.,4,9,6,10,41,6,2,10,35,0,6
374,2,4,8,1,8,AI only informs based on numbers ,8,It uses data captured,6,There is a grey area,6,With the help of the officer,8,10,1,1,26,5,1,1,61,61,1
463,1,3,3,1,8,"I believe so, it always pays to have advice and discuss through options etc",2,Im not educated enough to understand,2,it depends what information they have about you but no,2,"It really is dependant on the information they have about you etc, but i guess so",7,3,5,8,19,3,1,12,80,0,6
462,1,1,1,1,6,It is definitley important to have the AI as an informant but a technical choice being mafe by a computer may not be as accurate as seeing for yourself the condition and state of the human being.,6,"The AI will take into account certain factors such as condition, age, pain etc.  but it cannot give emotional decisions.",7,It is fair to an extent howrver it cannot be fully fair if it doesn't take into account peoples emotions and the state of their illness.  It is the quiest and easiest method to use however I don't brlieve it is the most effective,6,Humans would be more trustworthy to take into account a person's state.,7,10,7,10,20,2,2,2,40,24,6
243,2,2,6,2,6,AI can make narrowing down the list easier. But a human should have the final decision,5,"I understand the mechanics, I just don't know how trustworthy the results would be",5,Cannot be determined,1,Not on it's own,0,0,0,0,26,5,2,2,0,0,6
640,2,1,5,2,4,Resources may be stretched but I don’t believe someone’s future should be decided by AI. It could perhaps be used to make an initial list which is reviewed manually ,3,I have some idea that it uses algorithms and past experiences to make decisions ,5,I don’t know enough about this to say ,7,"In some cases yes, but I think there should always be a route to appeal and have this reviewed by a human ",0,0,3,3,39,8,2,9,40,10,6
1276,2,1,5,1,9,"unlike human beings,  I believe AI don’t have biases that can creep into their thinking process.",6,AI uses data and algorithm to make decisions ,7,Fairness is not a concept that AI can understand. It cannot be fair or unfair.,5,"In the current condition, the AI can't be trusted completely, but we are progressing towards more trustable AI platforms",5,8,4,8,30,4,2,5,45,61,1
264,1,4,4,1,9,I know from my own reading that AIs are highly efficient and effective in this kind of high-stakes decision making.,6,I understand the prioritisation but nothing more than that.,9,"It purely uses facts, though on some occasions there may be a mitigating factor to consider that does not fit into its categories.",9,I believe it would be fair and effective.,7,7,9,9,35,6,2,10,20,0,6
399,1,1,1,1,6,"I think the Lead Consultant should use the AI system as a guide but should not rely on it completely to determine the order of priority, as I feel the Lead Consultant is better placed to make that decision. ",2,I do not understand how the AI makes decisions as this information has not been provided. ,1,I don’t known what factors count as a priority to the AI so I cannot comment on this question. ,2,I do not trust AI completely to make this decision. I would trust the Lead Consultant more. ,7,10,7,10,31,3,2,7,30,20,6
193,2,4,8,1,8,It helpds the AI team to have the help from the lead officer,6,They work together,5,They are trained to make decisions,10,They are trained and can make the right decisions,5,10,5,10,34,2,2,3,71,49,6
410,1,1,1,1,7,"The human decision making should remain as these situations can be nuanced, but the AI can give general objective data to base the decision from.",5,"I understand that it will sift through data and create its decision based on what is true on objective patient data, but do not know the specifics.",6,"I believe it makes the best decision on the data it knows, but cannot understand the nuances of medical science.",6,"I understand it to make a base decision, but this will need to be checked by hospital staff for legitimacy.",3,7,3,7,19,2,1,1,55,65,6
714,1,2,2,1,4,Important decisions such as these should be made with the awareness of every patient and their needs,6,It is not clear what the priorities of the algorithm are,5,"Nothing where the severity of ones suffering is judged can actually be fair. Neither by a human, or machine",4,Critical patients can be determined by many factors,9,3,9,3,22,5,2,2,13,19,6
142,2,1,5,1,4,I think an algorithm is likely to mean people slip through the net!,7,Have read non-specialist information about it,8,I think it's trained to be fair - doesn't mean they'll be the best decisions,5,They need checks when it's something so serious and where judgment is important,5,9,5,8,34,7,2,8,9,71,6
268,1,2,2,1,5,"I like this idea because it could increase efficiency.  However, sometimes life or death situations require critical thinking and problem solving skills that AI may not posses.",4,"I understand the idea, but not all of the details.",6,"It probably is fair, but I’m not sure it’s ideal.",4,"I trust it to some degree.  I think it would get most cases right, but I don’t trust it completely.",7,7,7,7,45,7,1,11,60,54,6
804,2,3,7,2,7,i think they should use the AI to help make the decision to see the data on the person but the lead officer should make the final decision if they know and have worked with the offender they eill know they're personality,6,it gathers information about the person and somehow determines if the will still be a threat,7,it doesn't take into consideration if the person has changed or their personality,6,i dont trust it to make the final decision . i think humans should be involved in the decision,9,7,7,7,23,3,2,2,25,61,6
220,1,3,3,1,3,AI may be inaccurate,2,i am not informed about AI,4,lack of emotion,3,may make mistakes,6,8,3,4,20,3,2,1,14,7,6
271,2,2,6,1,0,"could be errors, may not be accurate ",1,i don’t really know much about it but i don’t trust it,2,i don’t think it has the abilities for critical thinking ,1,"no empathy, no critical thinking in the same way humans can ",8,2,7,3,23,5,2,1,1,0,6
361,1,3,3,2,8,"I believe an objective, non-emotional assesment is important but the human mind should be the one making the final decision.",7,I think the AI takes data into consideration and chooses the option with most chances of surviving any procedure.,7,"While just taking into consideration objetive data is fair, outside circumstances can also pay a part in decision making and I don't think an AI is suitable to make those choices",8,I trust the AI to make impartial,8,7,8,7,20,3,1,1,12,9,6
1471,1,3,3,2,7,I think they should definitely use it to inform their decision-making as I'm sure it would be useful to get a more stable starting point before deciding themselves. But it should not be relied on too heavily as there will of course be flaws and critical thinking should also be used.,6,I get that the AI uses patient medical records and procedure required to make decisions but of course I'm not 100% sure on the process in which it prioritises those things.,6,"Like the last answer, I get what it uses and I think that what it uses should result in a good guage of who should be where. But without knowing the equation it uses to do that, I can't say just how fair it truly is.",6,To an extent. While the kinks are still being worked out of the AI I believe critical thinking should still be used with the AI as a jump off point rather than a be-all-end-all,7,6,7,7,29,4,1,7,15,5,1
373,1,4,4,1,8,It would be able to sum up the pros and cons for the choices ,9,I think it uses the patients problems and history to work out who is more in need ,5,I think it mainly will be but in some cases it might not be able to take everything into consideration as it has no empathy ,5,"Yeah and no, the AI has no empathy so may see the patients has just numbers rather than people ",7,8,9,10,29,4,2,3,20,25,6
436,1,2,2,1,5,"Though this may help in some cases and avoids personal opinion affecting decisions, the consultant may see something that AI migbt not considor. Also, the high cost implications an AI system this complex would be huge. Money would be better spent on staff recruitment and retention.   ",3,I am not a programmer so would have very little knowledge of what would affect the AI decisions. ,7,The AI system would not have personal opinions ehich would affect decisions ,2,"No, i would trust a lead consultant who is an expert in their field more. ",5,9,6,9,34,3,2,5,48,0,6
846,2,2,6,1,10,It will help guide the Lead officer on the appropriate decision.,9,By carefully analysis the inmate profile.,10,It rely on the activities of the ex-officer ,10,Absolutely! It uses the data available ,10,10,10,10,29,6,1,12,10,70,1
448,2,1,5,1,8,Because i think that it's recommendable ,5,Don't totally knows how it makes decisions ,5,I think it is,5,Because it's a programme ,8,9,7,8,38,7,1,11,53,51,6
703,2,3,7,1,9,"I strongly support AI in situations where human error/bias could have a significant impact on people's lives. It takes out impartiality, and levels the playing field.",6,A certain criteria is programmed into the AI - to search for individuals with certain characteristics (or without certain criteria).,5,The AI has no ability to discriminate or express bias of any kind.,7,"For the most part, I trust math and science. I trust that the algorithms have been created without bias or discrimination.",0,0,0,0,42,4,1,5,19,0,6
258,2,3,7,1,7,they can analyse and compare data better than humans,4,looking at data about each person and analysing it,8,it is the same method for everyone,7,alot of money and research will have been put into making this a reliable method,5,5,5,5,21,3,2,1,50,0,6
532,1,1,1,1,10,The AI will help in making objective and unbiased decisions,10,The AI will make decisions based on which patients require the most care,10,Since the AI makes objective decisions it will most likely be fair,10,I trust the decisions because they are unbiased in nature,0,10,0,10,29,5,1,6,50,80,6
230,2,4,8,2,7,It helps to compare the stats but other factors only the officer would know should be included too,4,i don't know much about AI,3,Doesn't take all factors into account,4,Not sure,5,8,6,6,33,5,2,10,58,2,6
192,2,1,5,1,9,AI is a good way of efficiently analysing informaiton,6,I think it uses data and calculations ,7,"Mostly yes, data is accurate however there might be subjective matters it cannot help with",8,It's fair and accurate,2,4,2,4,22,5,2,6,50,1,6
440,2,4,8,1,8,Ultimately the decision should be made by a human as people are not algorithms,8,It weights a number of variables to determine who should be released,8,the AI doesn't have favourites,6,"on the whole yes, but ultimately should be based on opinion of those who know the individual prisoners",6,9,5,9,42,5,2,7,45,20,6
414,2,3,7,1,7,It would help to give an unbiased view ,3,I don't know for sure but I assume it uses past experiences,5,I think so,7,If it has correct information,7,8,5,8,18,2,2,9,20,8,6
439,2,3,7,2,3,"While AI can be a useful tool, it is too blunt an instrument to make such sensitive a crucial decisions that can affect the outcomes of what are often very vulnerable people. However, it may act as a 'guardrail' against the biases that are likely to be held in the police department regarding both individual offenders and broader categories of society such as race.",5,"I have a basic knowledge of how algorithms are created to sort through data. I am aware, for example, that any algorithm reflects the biases of the one who created it.",3,"As I mentioned in my previous answers, an algorithm will 'make decisions' within the parameters set by its creator, which will inevitably reflect the creator's biases. It is also a blunt instrument, and may not take special circumstances into account. Furthermore, it can only make decisions based on the data given to it, or that it expects. If data is missing or additional data is relevant, the algorithm will not be able to account for, or adjust for, this.",2,"As I mentioned before, I do not trust AI to make decisions that are based on complex, subtle and shifting factors. It may be useful as a guard against the biases of humans making decisions, but AI has inbuilt biases of its own, and operational limits on its flexibility.",3,6,4,4,35,7,2,2,10,75,6
152,2,1,5,1,0,"An AI isn't going to be able to understand the specificities and complexities of people's lives, particularly those who have likely experienced trauma",1,There were no details given as to how the AI would be prioritising people,0,Unclear. ,0,"As noted, I don't think an AI can understand how complex people's situations are and it could lead to people being overlooked ",6,6,4,2,30,6,2,7,0,2,6
340,1,4,4,1,7,"AI considers all factors without risk of an emotional link prioritising someone, but all cases should still be reviewed individually",6,The weightings show which factors have the most impact,5,Cases aren'r considered on an individual basis,5,"There is always some scope for outliers, which could be fatal in a hospital ",7,4,8,7,25,5,1,5,64,39,6
640,2,4,8,1,8,There will be less mistakes made due to the set of algorithms that aI has,5,It thinks on its own and uses algorithms to make decisions ,7,It does not base the decision on only one factor,8,Less chances of human error. Also it won’t make decisions based on emotions,1,2,1,2,28,5,2,5,80,30,1
